surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
yes,adult,38.1,132.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,less_1_liter,6.5,decreased,distend_small,57.0,8.5,serosanguious,3.4,yes,2209,0,0,no
yes,adult,37.5,88.0,12.0,cool,normal,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_small,33.0,12.85,serosanguious,2.0,yes,2208,0,0,no
yes,adult,38.3,120.0,28.0,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,3.5,absent,distend_large,37.0,6.4,serosanguious,3.4,yes,5124,0,0,no
yes,adult,37.1,72.0,30.0,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,2.0,decreased,distend_small,53.0,7.0,cloudy,3.9,yes,2208,0,0,yes
no,adult,38.0,52.0,48.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,moderate,slight,less_1_liter,7.0,normal,normal,47.0,7.3,cloudy,2.6,no,0,0,0,yes
no,adult,38.1,56.0,32.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.0,decreased,firm,49.0,8.0,cloudy,2.8,no,0,0,0,yes
yes,adult,38.3,36.0,16.0,cool,reduced,normal_pink,less_3_sec,severe_pain,normal,slight,slight,more_1_liter,2.0,decreased,distend_small,43.0,12.85,cloudy,1.0,no,3111,0,0,yes
no,adult,39.2,114.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_small,57.0,7.6,serosanguious,4.5,yes,2207,0,0,yes
no,adult,37.4,48.0,12.0,cool,reduced,normal_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,7.0,normal,firm,40.0,7.8,cloudy,2.6,no,0,0,0,yes
yes,adult,38.3,129.0,48.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,more_1_liter,4.4,absent,distend_small,57.0,4.9,cloudy,2.9,yes,3209,0,0,yes
yes,adult,38.3,84.0,48.0,cool,normal,pale_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,5.3,absent,distend_small,46.0,7.5,cloudy,2.0,yes,2208,0,0,yes
yes,adult,39.3,84.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,2.0,absent,distend_large,65.0,8.0,clear,2.0,yes,3205,0,0,no
yes,adult,38.1,164.0,36.0,warm,normal,pale_pink,less_3_sec,alert,hypomotile,moderate,slight,less_1_liter,6.0,decreased,distend_small,44.0,6.7,serosanguious,3.6,no,3205,0,0,yes
yes,adult,38.0,66.0,12.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_large,60.0,7.4,serosanguious,3.9,yes,2124,0,0,yes
yes,adult,38.0,124.0,63.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7.0,absent,distend_small,39.0,12.85,serosanguious,6.6,yes,2206,0,0,yes
no,adult,38.3,44.0,24.0,warm,normal,pale_pink,less_3_sec,alert,hypermotile,moderate,slight,more_1_liter,3.0,normal,distend_small,33.0,6.5,cloudy,3.6,no,31110,0,0,yes
yes,adult,37.8,60.0,16.0,cool,reduced,normal_pink,less_3_sec,depressed,normal,moderate,slight,more_1_liter,2.0,normal,distend_small,37.0,12.85,serosanguious,1.0,yes,2208,0,0,no
yes,adult,38.8,72.0,24.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_large,52.0,7.4,serosanguious,3.3,no,3205,0,0,yes
yes,adult,38.1,96.0,48.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.0,absent,distend_small,72.0,6.8,serosanguious,3.6,yes,2205,0,0,no
yes,adult,37.5,70.0,36.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.5,normal,normal,35.0,8.4,serosanguious,4.5,yes,7111,0,0,yes
yes,adult,37.8,48.0,16.0,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,2.0,absent,distend_large,53.0,12.85,clear,2.0,yes,3205,0,0,no
